Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
04606|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04607|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04609|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04610|0923|maatschappelijk werk en beroepskeuzewerk|092301|sociaal-cultureel werk, activiteitenbegeleiding
04611|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04612|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
04613|0921|gehandicaptenzorg voor volwassenen en bejaarden- en gezinszorg|092103|gehandicaptenzorg, sociaal-pedagogisch werk
04614|0923|maatschappelijk werk en beroepskeuzewerk|092301|sociaal-cultureel werk, activiteitenbegeleiding
04615|0923|maatschappelijk werk en beroepskeuzewerk|092301|sociaal-cultureel werk, activiteitenbegeleiding
04616|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
04617|0921|gehandicaptenzorg voor volwassenen en bejaarden- en gezinszorg|092103|gehandicaptenzorg, sociaal-pedagogisch werk
04641|0923|maatschappelijk werk en beroepskeuzewerk|092302|sociaal-juridische dienstverlening
04642|0313|psychologie|031303|creatieve therapie
04643|0923|maatschappelijk werk en beroepskeuzewerk|092301|sociaal-cultureel werk, activiteitenbegeleiding
04644|0313|psychologie|031303|creatieve therapie
04646|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04647|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04648|0412|financiële dienstverlening|041201|geld- en bankzaken
04649|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04650|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04651|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04652|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04653|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04654|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04655|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04656|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04657|0321|journalistiek|032103|uitgeverij
04659|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
04660|0215|muziek en theater|021501|muziek
04661|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04662|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04663|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04664|0612|ontwerp en beheer van database en netwerken|061204|informatiemanagement
04665|0723|textiel-, kleding-, schoenen-, en leervervaardiging|072301|maatkleding, confectie
04666|0612|ontwerp en beheer van database en netwerken|061204|informatiemanagement
04667|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04668|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04669|0612|ontwerp en beheer van database en netwerken|061204|informatiemanagement
04670|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04671|0613|softwareontwikkeling en systeemanalyse|061303|mediatechnologie
04672|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04673|0914|medische diagnostiek en medische technologie|091407|radiologie, beeldvormende technieken
04674|0411|financieel management en belastingen|041103|belastingen
04675|0412|financiële dienstverlening|041201|geld- en bankzaken
04676|0412|financiële dienstverlening|041201|geld- en bankzaken
04677|0421|recht|042104|juridisch bestuurlijk
04678|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04679|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04680|0923|maatschappelijk werk en beroepskeuzewerk|092301|sociaal-cultureel werk, activiteitenbegeleiding
04681|0921|gehandicaptenzorg voor volwassenen en bejaarden- en gezinszorg|092103|gehandicaptenzorg, sociaal-pedagogisch werk
04682|0313|psychologie|031302|psychotherapie
04683|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04684|0311|economie en econometrie|031101|economie
04685|0221|theologie, levensbeschouwing|022101|theologie
04686|0321|journalistiek|032101|journalistiek
04690|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
04691|0114|lerarenopleiding algemene en beroepsgerichte vakken|011415|theater
04692|0321|journalistiek|032101|journalistiek
04693|0923|maatschappelijk werk en beroepskeuzewerk|092304|school-, beroepskeuze, reïntegratie
04694|0923|maatschappelijk werk en beroepskeuzewerk|092305|arbeidsbemiddeling
04696|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04697|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
04698|0114|lerarenopleiding algemene en beroepsgerichte vakken|011415|theater
04699|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04711|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04712|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
04713|0211|audiovisuele techniek en mediaproductie|021105|av-productie, theatertechniek
04714|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
04715|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04716|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
04717|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
04718|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
04719|0214|kunstnijverheid|021402|bloemschikken en overige kunstnijverheid
04720|0212|mode-, interieur- en industriële vormgeving|021201|modeontwerpen
04721|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04722|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04723|0211|audiovisuele techniek en mediaproductie|021102|grafisch ontwerpen
04724|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04725|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04726|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04728|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04733|0211|audiovisuele techniek en mediaproductie|021104|radio-, tv-productie
04734|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
04735|0222|geschiedenis, archeologie|022203|museologie
04739|0215|muziek en theater|021501|muziek
04741|0215|muziek en theater|021502|theater
04743|0215|muziek en theater|021502|theater
04744|0215|muziek en theater|021502|theater
04745|0114|lerarenopleiding algemene en beroepsgerichte vakken|011415|theater
04748|0215|muziek en theater|021501|muziek
04749|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04750|0215|muziek en theater|021502|theater
04752|0215|muziek en theater|021502|theater
04754|0215|muziek en theater|021501|muziek
04756|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
04758|0211|audiovisuele techniek en mediaproductie|021102|grafisch ontwerpen
04759|0212|mode-, interieur- en industriële vormgeving|021205|artistieke industriele vormgeving
04760|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
04761|0215|muziek en theater|021501|muziek
04763|0215|muziek en theater|021501|muziek
04764|0215|muziek en theater|021501|muziek
04770|0215|muziek en theater|021501|muziek
04789|0215|muziek en theater|021501|muziek
04790|0215|muziek en theater|021501|muziek
04793|0215|muziek en theater|021501|muziek
04794|0215|muziek en theater|021501|muziek
04795|0215|muziek en theater|021501|muziek
04798|0215|muziek en theater|021502|theater
04802|0114|lerarenopleiding algemene en beroepsgerichte vakken|011415|theater
04804|0212|mode-, interieur- en industriële vormgeving|021201|modeontwerpen
04808|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
04810|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
04820|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
04841|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
04842|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
04851|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
04852|0215|muziek en theater|021501|muziek
04853|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
04854|0215|muziek en theater|021501|muziek
04855|0215|muziek en theater|021501|muziek
04856|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
04857|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
04858|0215|muziek en theater|021501|muziek
04859|0731|architectuur en stedebouwkunde|073104|landschapsarchitectuur
04860|0215|muziek en theater|021502|theater
04861|0215|muziek en theater|021501|muziek
04862|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
04863|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
04866|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
04867|0411|financieel management en belastingen|041101|financieel management en administratie
04868|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
04869|0811|landbouw en veeteelt|081103|dierenteelt, -verzorging algemeen
04870|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
04874|0215|muziek en theater|021502|theater
04878|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
04879|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04881|0114|lerarenopleiding algemene en beroepsgerichte vakken|011429|huishoudkunde, voeding
04882|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04883|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04885|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04887|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04888|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04889|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04890|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04899|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04908|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04909|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04910|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04915|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04916|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04917|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04918|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04920|0215|muziek en theater|021501|muziek
04921|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04922|1011|huishoudkunde, facilitiaire dienstverlening en reiniging|101102|facilitaire dienstverlening
04923|1013|horeca|101301|horeca algemeen
04924|1013|horeca|101301|horeca algemeen
04925|1011|huishoudkunde, facilitiaire dienstverlening en reiniging|101102|facilitaire dienstverlening
04926|0416|groothandel en detailhandel|041602|detailhandel
04927|1015|toerisme en vrijetijdsbesteding|101502|reisbureau, touroperating
04928|0411|financieel management en belastingen|041101|financieel management en administratie
04929|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04930|0313|psychologie|031301|psychologie
04931|0416|groothandel en detailhandel|041601|commercieel algemeen
04933|0215|muziek en theater|021501|muziek
04935|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04936|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04940|0114|lerarenopleiding algemene en beroepsgerichte vakken|011415|theater
04941|0114|lerarenopleiding algemene en beroepsgerichte vakken|011415|theater
04942|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
04943|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
04944|0215|muziek en theater|021502|theater
04950|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
04951|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
